,listing_id,lat,long,property_type,street_address,city,state,zip_code,square_feet,beds,full_baths,half_baths,garage,lot_size_sf,year_built,list_price,sold_price,list_date,sold_date,primary_phot_url,url_photo_1,url_photo_2,url_photo_3,url_photo_4,url_photo_5
0,2927896647,42.71857,-73.783946,single_family,16 Marville Dr,Colonie,New York,12211,1066,3,1,,1.0,14810,1953.0,244900,265000,2021-04-08T12:53:30Z,2021-08-09,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m637402102s-w1024_h768.jpg,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m637402102s-w1024_h768.jpg,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m2470683441s-w1024_h768.jpg,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m2278772994s-w1024_h768.jpg,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m768398940s-w1024_h768.jpg,https://ap.rdcpix.com/b1876350b73be92ee52ca5f542cdc1fbl-m3427382476s-w1024_h768.jpg
1,2929030346,42.806818,-73.799993,single_family,9 Quince Ct,Clifton Park,New York,12065,3080,4,2,1.0,2.0,14810,2008.0,547900,530000,2021-05-07T12:12:41Z,2021-08-09,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m1085699436s-w1024_h768.jpg,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m1085699436s-w1024_h768.jpg,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m3933201253s-w1024_h768.jpg,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m543265278s-w1024_h768.jpg,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m667052568s-w1024_h768.jpg,https://ap.rdcpix.com/151b9506275a8440841ab2f7837dec55l-m2078163077s-w1024_h768.jpg
2,2930135280,42.742156,-73.848568,single_family,15 Wicken Sq,Colonie,New York,12205,1580,3,1,1.0,1.0,8712,1996.0,285000,305000,2021-06-04T15:06:25Z,2021-08-06,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m3058870233s-w1024_h768.jpg,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m3058870233s-w1024_h768.jpg,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m825074652s-w1024_h768.jpg,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m2732822827s-w1024_h768.jpg,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m2813167553s-w1024_h768.jpg,https://ap.rdcpix.com/4a31023501b47a937d57ffb27cc6eef8l-m3591566692s-w1024_h768.jpg
3,2928850561,42.737666,-73.780706,single_family,2 Holly Ln,Latham,New York,12110,996,2,1,,1.0,10019,1950.0,199900,210000,2021-05-03T14:36:17Z,2021-08-06,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m128846804s-w1024_h768.jpg,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m128846804s-w1024_h768.jpg,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m1431350706s-w1024_h768.jpg,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m1904326988s-w1024_h768.jpg,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m3370269180s-w1024_h768.jpg,https://ap.rdcpix.com/a37f5c61dfcfcf8b08028646ee8b959cl-m1770390333s-w1024_h768.jpg
4,2929228208,42.731299,-73.745728,single_family,7 Dyer Dr,Latham,New York,12110,2490,4,2,,2.0,42689,1983.0,419000,405000,2021-05-13T02:39:29Z,2021-08-06,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m1664040415s-w1024_h768.jpg,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m1664040415s-w1024_h768.jpg,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m1320266869s-w1024_h768.jpg,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m4156832274s-w1024_h768.jpg,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m918563994s-w1024_h768.jpg,https://ap.rdcpix.com/b8ceda797f05069b2660ac652670b2a7l-m317882270s-w1024_h768.jpg
5,2929649876,42.75748,-73.740203,single_family,30 Balboa Dr,Latham,New York,12110,2052,4,1,1.0,2.0,10890,1986.0,319000,345000,2021-05-24T15:58:43Z,2021-08-06,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m2323449428s-w1024_h768.jpg,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m2323449428s-w1024_h768.jpg,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m2420117640s-w1024_h768.jpg,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m3967711687s-w1024_h768.jpg,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m1217843466s-w1024_h768.jpg,https://ap.rdcpix.com/9a0eefbc5be5d7b22f63acea216e0e14l-m1314622039s-w1024_h768.jpg
6,2930330658,42.700403,-73.784907,single_family,11 Oakwood Dr,Colonie,New York,12205,1820,3,2,1.0,1.0,15246,1949.0,299900,318000,2021-06-10T00:42:45Z,2021-08-06,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m1915394999s-w1024_h768.jpg,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m1915394999s-w1024_h768.jpg,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m4059357740s-w1024_h768.jpg,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m3459932778s-w1024_h768.jpg,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m327863103s-w1024_h768.jpg,https://ap.rdcpix.com/9d11b00576005d4e76fdf14d40b3c053l-m2644626083s-w1024_h768.jpg
7,2929515444,42.739235,-73.836462,single_family,22 Wilshire Dr,Colonie,New York,12205,2032,4,2,,2.0,12197,1975.0,339900,366000,2021-05-20T16:07:05Z,2021-08-06,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m90511820s-w1024_h768.jpg,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m90511820s-w1024_h768.jpg,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m3902879609s-w1024_h768.jpg,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m1032129099s-w1024_h768.jpg,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m1485848139s-w1024_h768.jpg,https://ap.rdcpix.com/4708bc208a413d7b665c86887bd509a7l-m899647510s-w1024_h768.jpg
8,2930411376,42.730049,-73.743222,single_family,2 Dan Del Dr,Latham,New York,12110,1412,2,1,,,16117,1950.0,250000,250000,2021-06-11T14:28:31Z,2021-08-06,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m1174886787s-w1024_h768.jpg,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m1174886787s-w1024_h768.jpg,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m923221986s-w1024_h768.jpg,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m2169462468s-w1024_h768.jpg,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m1972527347s-w1024_h768.jpg,https://ap.rdcpix.com/27f118314768075d762b44a21074fda1l-m1046885557s-w1024_h768.jpg
9,2929690409,42.717718,-73.710748,single_family,807 8th St,Watervliet,New York,12189,1280,3,2,1.0,1.0,7776,1923.0,139000,120000,2021-05-25T16:38:34Z,2021-08-06,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m579703029s-w1024_h768.jpg,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m579703029s-w1024_h768.jpg,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m4022868019s-w1024_h768.jpg,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m1637674686s-w1024_h768.jpg,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m517456248s-w1024_h768.jpg,https://ap.rdcpix.com/3d692c9384126d255682c6ccb66e8063l-m2255288992s-w1024_h768.jpg
